x,y,z,hx,hy,hz
10.5,10.5,0.5,0.5,0.5,0.5
10.5,10.5,1.5,0.5,0.5,0.5
10.5,10.5,2.5,0.5,0.5,0.5
10.5,10.5,3.5,0.5,0.5,0.5
10.5,10.5,4.5,0.5,0.5,0.5
10.5,11.5,0.5,0.5,0.5,0.5
10.5,11.5,1.5,0.5,0.5,0.5
10.5,11.5,2.5,0.5,0.5,0.5
10.5,11.5,3.5,0.5,0.5,0.5
10.5,11.5,4.5,0.5,0.5,0.5
10.5,12.5,0.5,0.5,0.5,0.5
10.5,12.5,1.5,0.5,0.5,0.5
10.5,12.5,2.5,0.5,0.5,0.5
10.5,12.5,3.5,0.5,0.5,0.5
10.5,12.5,4.5,0.5,0.5,0.5
10.5,13.5,0.5,0.5,0.5,0.5
10.5,13.5,1.5,0.5,0.5,0.5
10.5,13.5,2.5,0.5,0.5,0.5
10.5,13.5,3.5,0.5,0.5,0.5
10.5,13.5,4.5,0.5,0.5,0.5
10.5,14.5,0.5,0.5,0.5,0.5
10.5,14.5,1.5,0.5,0.5,0.5
10.5,14.5,2.5,0.5,0.5,0.5
10.5,14.5,3.5,0.5,0.5,0.5
10.5,14.5,4.5,0.5,0.5,0.5
10.5,15.5,0.5,0.5,0.5,0.5
10.5,15.5,1.5,0.5,0.5,0.5
10.5,15.5,2.5,0.5,0.5,0.5
10.5,15.5,3.5,0.5,0.5,0.5
10.5,15.5,4.5,0.5,0.5,0.5
10.5,16.5,0.5,0.5,0.5,0.5
10.5,16.5,1.5,0.5,0.5,0.5
10.5,16.5,2.5,0.5,0.5,0.5
10.5,16.5,3.5,0.5,0.5,0.5
10.5,16.5,4.5,0.5,0.5,0.5
10.5,17.5,0.5,0.5,0.5,0.5
10.5,17.5,1.5,0.5,0.5,0.5
10.5,17.5,2.5,0.5,0.5,0.5
10.5,17.5,3.5,0.5,0.5,0.5
10.5,17.5,4.5,0.5,0.5,0.5
10.5,18.5,0.5,0.5,0.5,0.5
10.5,18.5,1.5,0.5,0.5,0.5
10.5,18.5,2.5,0.5,0.5,0.5
10.5,18.5,3.5,0.5,0.5,0.5
10.5,18.5,4.5,0.5,0.5,0.5
10.5,19.5,0.5,0.5,0.5,0.5
10.5,19.5,1.5,0.5,0.5,0.5
10.5,19.5,2.5,0.5,0.5,0.5
10.5,19.5,3.5,0.5,0.5,0.5
10.5,19.5,4.5,0.5,0.5,0.5
10.5,20.5,0.5,0.5,0.5,0.5
10.5,20.5,1.5,0.5,0.5,0.5
10.5,20.5,2.5,0.5,0.5,0.5
10.5,20.5,3.5,0.5,0.5,0.5
10.5,20.5,4.5,0.5,0.5,0.5
10.5,21.5,0.5,0.5,0.5,0.5
10.5,21.5,1.5,0.5,0.5,0.5
10.5,21.5,2.5,0.5,0.5,0.5
10.5,21.5,3.5,0.5,0.5,0.5
10.5,21.5,4.5,0.5,0.5,0.5
10.5,22.5,0.5,0.5,0.5,0.5
10.5,22.5,1.5,0.5,0.5,0.5
10.5,22.5,2.5,0.5,0.5,0.5
10.5,22.5,3.5,0.5,0.5,0.5
10.5,22.5,4.5,0.5,0.5,0.5
10.5,23.5,0.5,0.5,0.5,0.5
10.5,23.5,1.5,0.5,0.5,0.5
10.5,23.5,2.5,0.5,0.5,0.5
10.5,23.5,3.5,0.5,0.5,0.5
10.5,23.5,4.5,0.5,0.5,0.5
10.5,24.5,0.5,0.5,0.5,0.5
10.5,24.5,1.5,0.5,0.5,0.5
10.5,24.5,2.5,0.5,0.5,0.5
10.5,24.5,3.5,0.5,0.5,0.5
10.5,24.5,4.5,0.5,0.5,0.5
11.5,10.5,0.5,0.5,0.5,0.5
11.5,10.5,1.5,0.5,0.5,0.5
11.5,10.5,2.5,0.5,0.5,0.5
11.5,10.5,3.5,0.5,0.5,0.5
11.5,10.5,4.5,0.5,0.5,0.5
11.5,11.5,0.5,0.5,0.5,0.5
11.5,11.5,1.5,0.5,0.5,0.5
11.5,11.5,2.5,0.5,0.5,0.5
11.5,11.5,3.5,0.5,0.5,0.5
11.5,11.5,4.5,0.5,0.5,0.5
11.5,12.5,0.5,0.5,0.5,0.5
11.5,12.5,1.5,0.5,0.5,0.5
11.5,12.5,2.5,0.5,0.5,0.5
11.5,12.5,3.5,0.5,0.5,0.5
